"filename", "language", "Markdown", "CMake", "Dart", "C++", "YAML", "HTML", "Properties", "JSON", "Swift", "XML", "Python", "comment", "blank", "total"
"d:\Arquivos\UFSM\App NF\API\config.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 6, 20
"d:\Arquivos\UFSM\App NF\API\controller.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 6, 24
"d:\Arquivos\UFSM\App NF\API\data.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 19, 28, 190
"d:\Arquivos\UFSM\App NF\API\models\NF.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 437, 16, 41, 494
"d:\Arquivos\UFSM\App NF\API\services\Flask_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 10, 37
"d:\Arquivos\UFSM\App NF\API\services\database.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 24, 112
"d:\Arquivos\UFSM\App NF\README.md", "Markdown", 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 246
"d:\Arquivos\UFSM\App NF\nf\analysis_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 22, 4, 29
"d:\Arquivos\UFSM\App NF\nf\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"d:\Arquivos\UFSM\App NF\nf\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 11, 1, 46
"d:\Arquivos\UFSM\App NF\nf\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"d:\Arquivos\UFSM\App NF\nf\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"d:\Arquivos\UFSM\App NF\nf\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"d:\Arquivos\UFSM\App NF\nf\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"d:\Arquivos\UFSM\App NF\nf\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"d:\Arquivos\UFSM\App NF\nf\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\Arquivos\UFSM\App NF\nf\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\Arquivos\UFSM\App NF\nf\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"d:\Arquivos\UFSM\App NF\nf\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"d:\Arquivos\UFSM\App NF\nf\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 123
"d:\Arquivos\UFSM\App NF\nf\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"d:\Arquivos\UFSM\App NF\nf\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Arquivos\UFSM\App NF\nf\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 1, 38
"d:\Arquivos\UFSM\App NF\nf\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 1, 27
"d:\Arquivos\UFSM\App NF\nf\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Arquivos\UFSM\App NF\nf\lib\NF\NF.dart", "Dart", 0, 0, 233, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37, 277
"d:\Arquivos\UFSM\App NF\nf\lib\NF\invoiceData.dart", "Dart", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 63
"d:\Arquivos\UFSM\App NF\nf\lib\NF\supplierData.dart", "Dart", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 69
"d:\Arquivos\UFSM\App NF\nf\lib\NF\taxData.dart", "Dart", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 105
"d:\Arquivos\UFSM\App NF\nf\lib\NF\transportersData.dart", "Dart", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 66
"d:\Arquivos\UFSM\App NF\nf\lib\NF\utils\loading.dart", "Dart", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"d:\Arquivos\UFSM\App NF\nf\lib\NF\utils\suppliers.dart", "Dart", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 60
"d:\Arquivos\UFSM\App NF\nf\lib\NF\utils\transporters.dart", "Dart", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 59
"d:\Arquivos\UFSM\App NF\nf\lib\main.dart", "Dart", 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16, 148
"d:\Arquivos\UFSM\App NF\nf\lib\pages\aboutSupplier.dart", "Dart", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 98
"d:\Arquivos\UFSM\App NF\nf\lib\pages\aboutTransporter.dart", "Dart", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 95
"d:\Arquivos\UFSM\App NF\nf\lib\pages\aboutnf.dart", "Dart", 0, 0, 325, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21, 349
"d:\Arquivos\UFSM\App NF\nf\lib\pages\invoicePage.dart", "Dart", 0, 0, 381, 0, 0, 0, 0, 0, 0, 0, 0, 8, 20, 409
"d:\Arquivos\UFSM\App NF\nf\lib\pages\otherPage.dart", "Dart", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 82
"d:\Arquivos\UFSM\App NF\nf\lib\pages\taxPage.dart", "Dart", 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 193
"d:\Arquivos\UFSM\App NF\nf\lib\settings.dart", "Dart", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 42
"d:\Arquivos\UFSM\App NF\nf\lib\src\XMLFile.dart", "Dart", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\Arquivos\UFSM\App NF\nf\lib\src\memory.dart", "Dart", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 90
"d:\Arquivos\UFSM\App NF\nf\linux\CMakeLists.txt", "CMake", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"d:\Arquivos\UFSM\App NF\nf\linux\flutter\CMakeLists.txt", "CMake", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"d:\Arquivos\UFSM\App NF\nf\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"d:\Arquivos\UFSM\App NF\nf\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Arquivos\UFSM\App NF\nf\linux\flutter\generated_plugins.cmake", "CMake", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"d:\Arquivos\UFSM\App NF\nf\linux\runner\CMakeLists.txt", "CMake", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\Arquivos\UFSM\App NF\nf\linux\runner\main.cc", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Arquivos\UFSM\App NF\nf\linux\runner\my_application.cc", "C++", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 25, 29, 145
"d:\Arquivos\UFSM\App NF\nf\linux\runner\my_application.h", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\Arquivos\UFSM\App NF\nf\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 4, 13
"d:\Arquivos\UFSM\App NF\nf\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"d:\Arquivos\UFSM\App NF\nf\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"d:\Arquivos\UFSM\App NF\nf\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 1, 69
"d:\Arquivos\UFSM\App NF\nf\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"d:\Arquivos\UFSM\App NF\nf\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"d:\Arquivos\UFSM\App NF\nf\pubspec.yaml", "YAML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 60, 14, 95
"d:\Arquivos\UFSM\App NF\nf\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"d:\Arquivos\UFSM\App NF\nf\web\index.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 15, 5, 39
"d:\Arquivos\UFSM\App NF\nf\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"d:\Arquivos\UFSM\App NF\nf\windows\CMakeLists.txt", "CMake", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"d:\Arquivos\UFSM\App NF\nf\windows\flutter\CMakeLists.txt", "CMake", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"d:\Arquivos\UFSM\App NF\nf\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"d:\Arquivos\UFSM\App NF\nf\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Arquivos\UFSM\App NF\nf\windows\flutter\generated_plugins.cmake", "CMake", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"d:\Arquivos\UFSM\App NF\nf\windows\runner\CMakeLists.txt", "CMake", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"d:\Arquivos\UFSM\App NF\nf\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"d:\Arquivos\UFSM\App NF\nf\windows\runner\flutter_window.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\Arquivos\UFSM\App NF\nf\windows\runner\main.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\Arquivos\UFSM\App NF\nf\windows\runner\resource.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\Arquivos\UFSM\App NF\nf\windows\runner\utils.cpp", "C++", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"d:\Arquivos\UFSM\App NF\nf\windows\runner\utils.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\Arquivos\UFSM\App NF\nf\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\Arquivos\UFSM\App NF\nf\windows\runner\win32_window.h", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 172, 461, 2006, 548, 24, 19, 8, 248, 55, 470, 724, 371, 778, 5884